date,open,high,close,low,volume,amount
2016-02-25,10.12,10.13,9.67,9.6,62207284.0,615004736.0
2016-02-24,10.13,10.22,10.22,10.08,30010360.0,302498016.0
2016-02-23,10.36,10.36,10.19,10.12,42587436.0,432315296.0
2016-02-22,10.2,10.38,10.36,10.13,61773944.0,630251520.0
2016-02-19,10.16,10.21,10.11,10.06,31889824.0,320939648.0
2016-02-18,10.25,10.29,10.16,10.16,40617824.0,412337568.0
2016-02-17,10.1,10.29,10.22,10.06,58516704.0,590538944.0
2016-02-16,9.91,10.1,10.08,9.9,42838640.0,427507776.0
2016-02-15,9.73,9.92,9.86,9.72,27849946.0,271173376.0
2016-02-05,10.03,10.04,9.99,9.98,27089334.0,269184384.0
2016-02-04,9.89,10.0,9.95,9.88,37309948.0,370586176.0
2016-02-03,9.85,9.89,9.85,9.77,27457216.0,269997824.0
2016-02-02,9.8,10.03,9.95,9.78,36910416.0,367360512.0
2016-02-01,9.98,10.01,9.8,9.74,41773216.0,412635648.0
2016-01-29,9.74,10.08,10.0,9.69,54443576.0,540544448.0
2016-01-28,9.82,9.89,9.69,9.65,30254078.0,296055328.0
2016-01-27,9.93,9.98,9.88,9.6,56903704.0,558510656.0
2016-01-26,10.32,10.32,9.87,9.86,64790112.0,653561600.0
2016-01-25,10.4,10.44,10.37,10.33,37643172.0,390734880.0
2016-01-22,10.4,10.45,10.4,10.22,46675216.0,482984448.0
2016-01-21,10.48,10.75,10.32,10.32,60614512.0,638127872.0
2016-01-20,10.7,10.8,10.54,10.44,60375248.0,640968960.0
2016-01-19,10.45,10.78,10.71,10.41,50110908.0,532074688.0
2016-01-18,10.34,10.56,10.41,10.3,42104088.0,439917824.0
2016-01-15,10.66,10.8,10.46,10.42,44820216.0,474908128.0
2016-01-14,10.59,10.8,10.77,10.48,66631456.0,708534976.0
2016-01-13,10.89,10.94,10.71,10.7,39170948.0,424371712.0
2016-01-12,10.83,10.91,10.81,10.64,56164232.0,605970816.0
2016-01-11,11.0,11.08,10.76,10.68,73201400.0,800683648.0
2016-01-08,11.21,11.29,11.12,10.9,74752760.0,831334528.0
2016-01-07,11.41,11.41,10.94,10.91,17476110.0,194869488.0
2016-01-06,11.42,11.56,11.53,11.39,51570644.0,591698496.0
2016-01-05,11.27,11.57,11.4,11.15,66326996.0,755531328.0
2016-01-04,12.0,12.03,11.33,11.23,56349788.0,660376128.0
2015-12-31,12.1,12.13,11.99,11.98,49125892.0,591643584.0
2015-12-30,12.09,12.11,12.1,11.95,53266704.0,641277248.0
2015-12-29,11.99,12.1,12.09,11.97,61980216.0,744718400.0
