Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,87.95,90.62,87.57,90.20,24558800,78.65
2009-01-05,89.87,90.33,88.87,89.70,25612100,78.22
2009-01-06,90.18,90.90,89.38,90.15,37258400,78.61
2009-01-07,88.88,89.18,87.23,87.86,33165500,76.61
2009-01-08,87.07,87.57,86.55,87.43,23641700,76.24
2009-01-09,87.67,87.76,85.84,86.14,24494100,75.11
2009-01-12,85.77,86.02,84.26,84.79,22622000,73.93
2009-01-13,84.61,85.29,83.83,84.42,29846500,73.61
2009-01-14,83.16,83.36,81.48,82.08,38850600,71.57
2009-01-15,82.07,82.98,80.04,82.18,44216600,71.66
2009-01-16,83.22,83.40,81.03,82.69,37613200,72.23
2009-01-20,82.21,82.41,79.36,79.41,36892100,69.36
2009-01-21,80.65,82.41,79.35,82.24,34826600,71.83
2009-01-22,80.90,82.04,79.55,81.16,40157400,70.89
2009-01-23,79.50,81.53,79.05,80.52,44701000,70.33
2009-01-26,80.86,82.29,80.19,81.07,28917300,70.81
2009-01-27,81.49,82.24,80.80,81.51,23352800,71.20
2009-01-28,83.04,84.04,82.59,83.68,21080000,73.09
2009-01-29,82.58,82.94,81.35,81.53,20825600,71.21
2009-01-30,81.83,81.96,79.60,80.08,26172600,69.95
2009-02-02,79.14,79.92,78.65,79.32,22968000,69.28
2009-02-03,79.78,81.10,79.02,80.63,24065100,70.43
2009-02-04,80.80,81.71,79.34,79.69,27506400,69.61
2009-02-05,79.26,81.15,78.50,80.55,39865100,70.36
2009-02-06,80.87,83.27,80.72,82.86,30049700,72.38
2009-02-09,82.80,83.29,82.10,82.75,20793600,72.28
2009-02-10,82.23,82.73,78.61,79.19,49006600,69.17
2009-02-11,79.62,80.01,78.68,79.55,33244600,69.48
2009-02-12,78.43,79.62,77.15,79.50,45482100,69.44
2009-02-13,79.48,79.95,78.47,78.55,23850300,68.61
2009-02-17,76.60,77.06,75.72,75.75,36731400,66.17
2009-02-18,76.25,76.49,75.09,75.76,35793800,66.17
2009-02-19,76.43,76.50,74.80,75.03,30933800,65.54
2009-02-20,73.32,74.71,72.48,73.73,46343700,64.72
2009-02-23,74.24,74.41,71.07,71.15,36003600,62.45
2009-02-24,71.57,73.80,71.15,73.38,37524300,64.41
2009-02-25,73.03,74.05,71.56,72.67,43668900,63.79
2009-02-26,73.48,74.07,71.76,71.84,31367300,63.06
2009-02-27,70.63,72.00,70.37,70.76,35756000,62.11
2009-03-02,69.65,69.82,67.59,67.83,36931600,59.54
2009-03-03,68.48,68.60,67.09,67.21,30799800,58.99
2009-03-04,68.35,69.88,67.63,68.77,31996400,60.36
2009-03-05,67.50,68.05,65.53,66.07,35056100,57.99
2009-03-06,66.54,67.63,64.78,66.50,35830500,58.37
2009-03-09,65.51,67.17,65.25,65.44,28114400,57.44
2009-03-10,66.62,69.23,66.54,69.14,31008100,60.69
2009-03-11,69.69,70.32,68.82,69.48,21875300,60.99
2009-03-12,69.38,71.99,68.85,71.77,21938300,63.00
2009-03-13,72.19,72.59,71.20,72.32,21835800,63.48
2009-03-16,72.97,74.07,72.20,72.31,24509000,63.47
2009-03-17,72.29,74.12,71.86,74.08,20439900,65.02
2009-03-18,73.49,75.89,72.72,74.97,35906600,65.80
2009-03-19,75.83,75.87,73.83,74.11,25410900,65.05
2009-03-20,74.43,74.56,72.53,72.74,22996500,64.00
2009-03-23,74.55,77.78,74.17,77.76,25706800,68.42
2009-03-24,76.91,77.95,76.44,76.70,20383500,67.48
2009-03-25,77.25,78.62,75.48,77.41,30263100,68.11
2009-03-26,78.18,79.30,77.52,79.10,29403800,69.60
2009-03-27,78.14,78.42,77.33,77.81,19994100,68.46
2009-03-30,76.09,76.12,74.37,75.25,25811800,66.21
2009-03-31,76.04,77.23,75.20,75.84,28187500,66.73
2009-04-01,74.88,77.87,74.80,77.53,25416600,68.21
2009-04-02,79.38,80.76,78.98,79.71,30176700,70.13
2009-04-03,79.76,80.19,78.96,80.16,20617100,70.53
2009-04-06,79.46,79.93,78.60,79.76,17834000,70.18
2009-04-07,78.74,78.74,77.69,77.89,17326400,68.53
2009-04-08,78.18,78.94,77.57,78.37,15719000,68.95
2009-04-09,80.01,80.92,79.76,80.89,19287700,71.17
2009-04-13,80.03,81.18,79.69,80.55,11991300,70.87
2009-04-14,79.97,80.34,79.08,79.27,18590000,69.75
2009-04-15,79.04,80.46,78.74,80.30,18263400,70.65
2009-04-16,80.86,81.79,79.71,81.26,19526700,71.50
2009-04-17,81.44,81.85,80.82,81.31,16835600,71.66
2009-04-20,80.05,80.16,78.35,78.52,16640200,69.20
2009-04-21,77.83,79.76,77.81,79.59,18051200,70.14
2009-04-22,79.03,80.45,78.66,78.81,20467800,69.46
2009-04-23,78.94,79.85,78.02,79.65,19521000,70.20
2009-04-24,80.10,81.27,79.93,80.73,17662200,71.15
2009-04-27,79.77,81.23,79.66,80.26,17582800,70.73
2009-04-28,79.47,80.95,79.37,80.12,16457900,70.61
2009-04-29,80.82,82.55,80.69,81.77,18084100,72.06
2009-04-30,82.73,83.06,81.35,81.67,17496500,71.98
2009-05-01,81.79,82.19,80.96,82.16,12356400,72.41
2009-05-04,82.74,84.30,82.60,84.24,13866800,74.24
2009-05-05,84.06,84.56,83.61,84.16,11985000,74.17
2009-05-06,85.05,85.27,84.19,85.20,18357600,75.09
2009-05-07,85.80,85.91,83.65,84.17,19835900,74.18
2009-05-08,85.14,85.97,84.61,85.72,18463400,75.54
2009-05-11,84.76,84.99,84.20,84.43,13335600,74.41
2009-05-12,84.77,85.28,83.77,84.72,16819400,74.66
2009-05-13,83.71,83.86,82.80,83.13,17683700,73.26
2009-05-14,83.12,83.97,82.94,83.39,15029400,73.49
2009-05-15,83.15,83.95,82.28,82.78,23137600,73.17
2009-05-18,83.58,85.12,83.50,85.12,12745200,75.24
2009-05-19,84.94,85.39,84.63,84.74,17908900,74.90
2009-05-20,85.34,85.97,84.10,84.19,18083800,74.42
2009-05-21,83.28,83.33,82.30,83.10,20038800,73.45
2009-05-22,83.42,83.74,82.66,82.87,10156800,73.25
2009-05-26,82.27,85.06,82.27,84.85,13636800,75.00
2009-05-27,84.97,85.07,82.97,83.16,13708200,73.51
2009-05-28,83.79,84.45,82.53,84.02,17780200,74.27
2009-05-29,84.39,85.76,83.76,85.39,15275000,75.48
2009-06-01,86.28,87.67,86.05,87.35,12952000,77.21
2009-06-02,87.14,87.97,86.93,87.50,10553900,77.34
2009-06-03,87.02,87.11,86.08,86.95,9488600,76.86
2009-06-04,86.91,87.66,86.49,87.51,11762200,77.35
2009-06-05,88.25,88.55,87.12,87.91,16834300,77.70
2009-06-08,87.22,88.40,86.50,87.74,23538400,77.55
