runfile('F:/zwPython/zw_k23/k408x_vwap_momentum.py', wdir='F:/zwPython/zw_k23')
::vwap,shares,price,notional,self.getBroker().getCash() ))
2011-01-07, ++ $332.63,$0.00,$336.12,$0.00,$1000000.00
2011-01-10, ++ $336.17,$100.00,$342.45,$34245.00,$966117.00
2011-01-12, ++ $340.04,$200.00,$344.42,$68884.00,$931629.00
2011-01-13, ++ $342.02,$300.00,$345.68,$103704.00,$897113.00
2011-01-14, ++ $344.15,$400.00,$348.48,$139392.00,$862524.00
2011-01-20, -- $339.68,$500.00,$332.68,$166340.00,$829572.00
2011-01-21, -- $337.30,$400.00,$326.72,$130688.00,$862949.00
2011-01-25, ++ $335.33,$300.00,$341.40,$102420.00,$895636.00
2011-01-26, ++ $335.44,$400.00,$343.85,$137540.00,$861340.00
2011-01-27, ++ $337.06,$500.00,$343.21,$171605.00,$826962.00
2011-01-28, -- $339.94,$600.00,$336.10,$201660.00,$792545.00
2011-02-01, ++ $341.12,$500.00,$345.03,$172515.00,$826125.00
2011-02-02, ++ $340.83,$600.00,$344.32,$206592.00,$791680.00
2011-02-07, ++ $346.61,$700.00,$351.88,$246315.99,$757300.00
2011-02-08, ++ $348.76,$800.00,$355.20,$284160.01,$721932.00
2011-02-09, ++ $351.51,$900.00,$358.16,$322344.00,$686413.00
2011-02-16, ++ $357.89,$1000.00,$363.13,$363129.99,$650674.00
2011-02-18, -- $356.95,$1100.00,$350.56,$385616.01,$614949.00
2011-02-22, -- $351.36,$1000.00,$338.61,$338609.99,$649164.00
2011-02-23, -- $348.90,$900.00,$342.62,$308357.99,$683041.00
2011-02-25, ++ $344.23,$800.00,$348.16,$278528.01,$717443.00
2011-02-28, ++ $343.68,$900.00,$353.21,$317889.01,$682319.00
2011-03-03, ++ $352.71,$1000.00,$359.56,$359560.01,$646772.00
2011-03-04, ++ $354.79,$1100.00,$360.00,$395999.99,$610765.00
2011-03-09, -- $356.68,$1200.00,$352.47,$422963.99,$574625.00
2011-03-10, -- $353.86,$1100.00,$346.67,$381336.99,$609537.00
2011-03-15, -- $349.47,$1000.00,$345.43,$345429.99,$644070.00
2011-03-16, -- $342.20,$900.00,$330.01,$297009.01,$678270.00
2011-03-17, -- $340.10,$800.00,$334.64,$267712.00,$711953.00
2011-03-18, -- $336.69,$700.00,$330.67,$231469.00,$745666.01
2011-03-21, ++ $335.00,$600.00,$339.30,$203580.00,$779265.01
2011-03-22, ++ $333.33,$700.00,$341.20,$238840.01,$745009.01
2011-03-23, ++ $335.73,$800.00,$339.19,$271352.00,$711081.01
2011-03-24, ++ $337.70,$900.00,$344.97,$310473.00,$676896.01
2011-03-25, ++ $343.56,$1000.00,$351.54,$351540.01,$642089.01
