finx,ksgn,nstk,nSum,nAdd,nDec,kAdd,kDec
stk_code,01,2813.0,30540.0,15363.0,15177.0,50.0,50.0
stk_code,02,2813.0,30608.0,22962.0,7646.0,75.0,25.0
stk_code,03,2813.0,28257.0,14698.0,13559.0,52.0,48.0
stk_code,04,2813.0,28428.0,13299.0,15129.0,47.0,53.0
stk_code,05,2813.0,28499.0,15571.0,12928.0,55.0,45.0
stk_code,06,2813.0,28832.0,10669.0,18163.0,37.0,63.0
stk_code,07,2813.0,29016.0,15009.0,14007.0,52.0,48.0
stk_code,08,2813.0,29179.0,13782.0,15397.0,47.0,53.0
stk_code,09,2813.0,29396.0,13998.0,15398.0,48.0,52.0
stk_code,10,2813.0,29543.0,13471.0,16072.0,46.0,54.0
stk_code,11,2813.0,29821.0,16670.0,13151.0,56.0,44.0
stk_code,12,2813.0,30181.0,13693.0,16488.0,45.0,55.0
