finx,ksgn,nstk,nSum,nAdd,nDec,kAdd,kDec
stk_hs300,01,300.0,3898.0,1913.0,1985.0,49.0,51.0
stk_hs300,02,300.0,3905.0,2662.0,1243.0,68.0,32.0
stk_hs300,03,300.0,3635.0,1901.0,1734.0,52.0,48.0
stk_hs300,04,300.0,3656.0,1933.0,1723.0,53.0,47.0
stk_hs300,05,300.0,3674.0,1775.0,1899.0,48.0,52.0
stk_hs300,06,300.0,3698.0,1465.0,2233.0,40.0,60.0
stk_hs300,07,300.0,3714.0,1958.0,1756.0,53.0,47.0
stk_hs300,08,300.0,3739.0,1522.0,2217.0,41.0,59.0
stk_hs300,09,300.0,3771.0,1710.0,2061.0,45.0,55.0
stk_hs300,10,300.0,3793.0,1835.0,1958.0,48.0,52.0
stk_hs300,11,300.0,3821.0,1981.0,1840.0,52.0,48.0
stk_hs300,12,300.0,3868.0,1913.0,1955.0,49.0,51.0
