finx,ksgn,nstk,nSum,nAdd,nDec,kAdd,kDec
inx_code,01,19.0,57.0,19.0,38.0,33.0,67.0
inx_code,02,19.0,76.0,49.0,27.0,64.0,36.0
inx_code,03,19.0,57.0,20.0,37.0,35.0,65.0
inx_code,04,19.0,57.0,30.0,27.0,53.0,47.0
inx_code,05,19.0,57.0,51.0,6.0,89.0,11.0
inx_code,06,19.0,57.0,19.0,38.0,33.0,67.0
inx_code,07,19.0,57.0,30.0,27.0,53.0,47.0
inx_code,08,19.0,57.0,30.0,27.0,53.0,47.0
inx_code,09,19.0,57.0,46.0,11.0,81.0,19.0
inx_code,10,19.0,57.0,28.0,29.0,49.0,51.0
inx_code,11,19.0,57.0,56.0,1.0,98.0,2.0
inx_code,12,19.0,57.0,41.0,16.0,72.0,28.0
