finx,ksgn,nstk,nSum,nAdd,nDec,kAdd,kDec
stk_sz50,01,50.0,556.0,243.0,313.0,44.0,56.0
stk_sz50,02,50.0,557.0,349.0,208.0,63.0,37.0
stk_sz50,03,50.0,513.0,267.0,246.0,52.0,48.0
stk_sz50,04,50.0,520.0,307.0,213.0,59.0,41.0
stk_sz50,05,50.0,521.0,206.0,315.0,40.0,60.0
stk_sz50,06,50.0,521.0,209.0,312.0,40.0,60.0
stk_sz50,07,50.0,526.0,293.0,233.0,56.0,44.0
stk_sz50,08,50.0,533.0,183.0,350.0,34.0,66.0
stk_sz50,09,50.0,537.0,242.0,295.0,45.0,55.0
stk_sz50,10,50.0,541.0,318.0,223.0,59.0,41.0
stk_sz50,11,50.0,545.0,264.0,281.0,48.0,52.0
stk_sz50,12,50.0,552.0,288.0,264.0,52.0,48.0
