finx,ksgn,nstk,nSum,nAdd,nDec,kAdd,kDec
inxYahoo,01,6688.0,98683.0,49762.0,48921.0,50.0,50.0
inxYahoo,02,6688.0,99081.0,49858.0,49223.0,50.0,50.0
inxYahoo,03,6688.0,93455.0,49584.0,43871.0,53.0,47.0
inxYahoo,04,6688.0,93967.0,50314.0,43653.0,54.0,46.0
inxYahoo,05,6688.0,94540.0,46254.0,48286.0,49.0,51.0
inxYahoo,06,6688.0,95121.0,43941.0,51180.0,46.0,54.0
inxYahoo,07,6688.0,95624.0,45428.0,50196.0,48.0,52.0
inxYahoo,08,6688.0,96049.0,44903.0,51146.0,47.0,53.0
inxYahoo,09,6688.0,96455.0,46149.0,50306.0,48.0,52.0
inxYahoo,10,6688.0,97057.0,52000.0,45057.0,54.0,46.0
inxYahoo,11,6688.0,97705.0,49733.0,47972.0,51.0,49.0
inxYahoo,12,6688.0,98248.0,53530.0,44718.0,54.0,46.0
