finx,ksgn,nstk,nSum,nAdd,nDec,kAdd,kDec
inxYahoo100ns,01,100.0,2095.0,1106.0,989.0,53.0,47.0
inxYahoo100ns,02,100.0,2096.0,1114.0,982.0,53.0,47.0
inxYahoo100ns,03,100.0,2024.0,1120.0,904.0,55.0,45.0
inxYahoo100ns,04,100.0,2032.0,1161.0,871.0,57.0,43.0
inxYahoo100ns,05,100.0,2037.0,1097.0,940.0,54.0,46.0
inxYahoo100ns,06,100.0,2051.0,949.0,1102.0,46.0,54.0
inxYahoo100ns,07,100.0,2061.0,1077.0,984.0,52.0,48.0
inxYahoo100ns,08,100.0,2068.0,1077.0,991.0,52.0,48.0
inxYahoo100ns,09,100.0,2074.0,1107.0,967.0,53.0,47.0
inxYahoo100ns,10,100.0,2079.0,1258.0,821.0,61.0,39.0
inxYahoo100ns,11,100.0,2081.0,1213.0,868.0,58.0,42.0
inxYahoo100ns,12,100.0,2091.0,1150.0,941.0,55.0,45.0
