finx,ksgn,nstk,nSum,nAdd,nDec,kAdd,kDec
inxYahoo30sp,01,30.0,1265.0,662.0,603.0,52.0,48.0
inxYahoo30sp,02,30.0,1265.0,657.0,608.0,52.0,48.0
inxYahoo30sp,03,30.0,1239.0,701.0,538.0,57.0,43.0
inxYahoo30sp,04,30.0,1239.0,749.0,490.0,60.0,40.0
inxYahoo30sp,05,30.0,1239.0,635.0,604.0,51.0,49.0
inxYahoo30sp,06,30.0,1240.0,551.0,689.0,44.0,56.0
inxYahoo30sp,07,30.0,1241.0,655.0,586.0,53.0,47.0
inxYahoo30sp,08,30.0,1242.0,602.0,640.0,48.0,52.0
inxYahoo30sp,09,30.0,1243.0,594.0,649.0,48.0,52.0
inxYahoo30sp,10,30.0,1243.0,719.0,524.0,58.0,42.0
inxYahoo30sp,11,30.0,1244.0,738.0,506.0,59.0,41.0
inxYahoo30sp,12,30.0,1245.0,760.0,485.0,61.0,39.0
