finx,ksgn,nstk,nSum,nAdd,nDec,kAdd,kDec
inxYahoo600,01,610.0,14560.0,7399.0,7161.0,51.0,49.0
inxYahoo600,02,610.0,14579.0,7768.0,6811.0,53.0,47.0
inxYahoo600,03,610.0,14099.0,8003.0,6096.0,57.0,43.0
inxYahoo600,04,610.0,14139.0,8075.0,6064.0,57.0,43.0
inxYahoo600,05,610.0,14173.0,7553.0,6620.0,53.0,47.0
inxYahoo600,06,610.0,14239.0,6614.0,7625.0,46.0,54.0
inxYahoo600,07,610.0,14288.0,7236.0,7052.0,51.0,49.0
inxYahoo600,08,610.0,14310.0,7130.0,7180.0,50.0,50.0
inxYahoo600,09,610.0,14342.0,7102.0,7240.0,50.0,50.0
inxYahoo600,10,610.0,14372.0,8181.0,6191.0,57.0,43.0
inxYahoo600,11,610.0,14425.0,8125.0,6300.0,56.0,44.0
inxYahoo600,12,610.0,14488.0,8684.0,5804.0,60.0,40.0
