finx,ksgn,nstk,nSum,nAdd,nDec,kAdd,kDec
stk_zz500,01,500.0,6742.0,3384.0,3358.0,50.0,50.0
stk_zz500,02,500.0,6749.0,4959.0,1790.0,73.0,27.0
stk_zz500,03,500.0,6311.0,3354.0,2957.0,53.0,47.0
stk_zz500,04,500.0,6348.0,3104.0,3244.0,49.0,51.0
stk_zz500,05,500.0,6355.0,3384.0,2971.0,53.0,47.0
stk_zz500,06,500.0,6423.0,2398.0,4025.0,37.0,63.0
stk_zz500,07,500.0,6460.0,3456.0,3004.0,53.0,47.0
stk_zz500,08,500.0,6496.0,2901.0,3595.0,45.0,55.0
stk_zz500,09,500.0,6520.0,3163.0,3357.0,49.0,51.0
stk_zz500,10,500.0,6547.0,2953.0,3594.0,45.0,55.0
stk_zz500,11,500.0,6600.0,3650.0,2950.0,55.0,45.0
stk_zz500,12,500.0,6666.0,2991.0,3675.0,45.0,55.0
