date,stkVal,cash,dret,val,downLow,downHigh,downDay,downKMax
2011-01-03,204260.7412,795739.2588,0.0,1000000.0,1000000.0,1000000.0,1.0,0.0
2011-01-04,202111.9374,795739.2588,-0.0021,997851.1962,997851.1962,1000000.0,2.0,-0.2149
2011-01-05,205707.4921,795739.2588,0.0036,1001446.7508,1001446.7508,1001446.7508,2.0,-0.2149
2011-01-06,206460.7679,795739.2588,0.0008,1002200.0267,1002200.0267,1002200.0267,2.0,-0.2149
2011-01-07,209811.7347,795739.2588,0.0033,1005550.9935,1005550.9935,1005550.9935,2.0,-0.2149
2011-01-10,212090.4355,795739.2588,0.0023,1007829.6942,1007829.6942,1007829.6942,2.0,-0.2149
2011-01-11,213766.5348,795739.2588,0.0017,1009505.7936,1009505.7936,1009505.7936,2.0,-0.2149
2011-01-12,213401.7858,795739.2588,-0.0004,1009141.0446,1009141.0446,1009505.7936,2.0,-0.2149
2011-01-13,215806.134,795739.2588,0.0024,1011545.3928,1011545.3928,1011545.3928,2.0,-0.2149
2011-01-14,222774.597,795739.2588,0.0069,1018513.8558,1018513.8558,1018513.8558,2.0,-0.2149
2011-01-18,227524.16,795739.2588,0.0047,1023263.4188,1023263.4188,1023263.4188,2.0,-0.2149
2011-01-19,223610.8248,795739.2588,-0.0038,1019350.0836,1019350.0836,1023263.4188,2.0,-0.3824
2011-01-20,221040.5788,795739.2588,-0.0025,1016779.8376,1016779.8376,1023263.4188,3.0,-0.6336
2011-01-21,224958.1635,795739.2588,0.0039,1020697.4223,1016779.8376,1023263.4188,4.0,-0.6336
2011-01-24,224786.7684,795739.2588,-0.0002,1020526.0272,1016779.8376,1023263.4188,7.0,-0.6336
2011-01-25,226747.7219,795739.2588,0.0019,1022486.9807,1016779.8376,1023263.4188,8.0,-0.6336
2011-01-26,229948.0316,795739.2588,0.0031,1025687.2904,1025687.2904,1025687.2904,8.0,-0.6336
2011-01-27,233503.2916,795739.2588,0.0035,1029242.5504,1029242.5504,1029242.5504,8.0,-0.6336
2011-01-28,232130.9259,795739.2588,-0.0013,1027870.1847,1027870.1847,1029242.5504,8.0,-0.6336
2011-01-31,241143.277,795739.2588,0.0088,1036882.5358,1036882.5358,1036882.5358,8.0,-0.6336
