2000-01-26 ,BUY at $26.35,$25.41,$736.49
2000-01-28 ,Sell at $23.91,$25.42,$975.62
2000-02-03 ,BUY at $25.71,$25.31,$718.49
2000-02-22 ,Sell at $27.45,$27.51,$993.03
2000-02-23 ,BUY at $27.95,$27.79,$713.56
2000-03-31 ,Sell at $37.23,$37.98,$1085.90
2000-04-07 ,BUY at $38.86,$38.11,$697.31
2000-04-12 ,Sell at $36.19,$37.81,$1059.20
2000-04-19 ,BUY at $36.51,$35.68,$694.11
2000-04-20 ,Sell at $34.27,$35.44,$1036.86
2000-04-28 ,BUY at $36.45,$35.02,$672.35
2000-05-05 ,Sell at $34.36,$34.78,$1015.96
2000-05-08 ,BUY at $34.97,$35.08,$666.25
2000-05-09 ,Sell at $34.22,$34.99,$1008.42
2000-05-16 ,BUY at $36.04,$34.93,$647.97
2000-05-19 ,Sell at $33.43,$34.68,$982.30
2000-05-31 ,BUY at $34.01,$33.00,$642.17
2000-06-23 ,Sell at $37.52,$38.01,$1017.41
2000-06-27 ,BUY at $38.25,$38.23,$634.91
2000-06-28 ,Sell at $38.11,$38.32,$1015.96
2000-06-29 ,BUY at $38.11,$38.27,$634.91
2000-06-30 ,Sell at $37.32,$38.31,$1008.13
2000-07-03 ,BUY at $37.67,$38.30,$631.43
2000-07-05 ,Sell at $35.67,$38.01,$988.10
2000-07-21 ,BUY at $35.96,$35.25,$628.53
2000-07-24 ,Sell at $35.81,$34.97,$986.65
2000-07-26 ,BUY at $34.74,$34.98,$639.26
2000-07-28 ,Sell at $34.88,$34.85,$988.10
2000-08-01 ,BUY at $34.91,$34.91,$638.97
2000-08-02 ,Sell at $33.90,$34.86,$977.94
2000-08-04 ,BUY at $36.36,$35.08,$614.31
2000-09-11 ,Sell at $39.96,$40.45,$1013.93
2000-09-29 ,BUY at $37.78,$37.20,$636.14
2000-10-02 ,Sell at $37.03,$37.05,$1006.46
2000-10-20 ,BUY at $33.55,$31.79,$670.97
2000-10-31 ,Sell at $30.30,$31.50,$973.95
2000-11-20 ,BUY at $22.58,$25.95,$748.17
2000-11-21 ,Sell at $23.04,$25.38,$978.60
2000-12-01 ,BUY at $24.49,$23.54,$733.66
2000-12-15 ,Sell at $27.34,$25.82,$1007.04
2000-12-18 ,BUY at $27.86,$26.36,$728.43
2000-12-21 ,Sell at $25.83,$27.39,$986.72
2000-12-22 ,BUY at $28.21,$27.73,$704.64

Final portfolio value: $974.53
