date,open,high,close,low,volume,adj close
2011-01-03,4.34,4.48,4.41,4.33,175500,3.981876
2011-01-04,4.45,4.47,4.38,4.25,172200,3.954788
2011-01-05,4.35,4.49,4.48,4.33,75500,4.0450800000000005
2011-01-06,4.46,4.46,4.33,4.14,502900,3.909642
2011-01-07,4.35,4.46,4.42,4.33,86400,3.990905
2011-01-10,4.45,4.54,4.43,4.42,110400,3.999934
2011-01-11,4.49,4.58,4.56,4.43,105800,4.117314
2011-01-12,4.64,4.7,4.48,4.48,104300,4.0450800000000005
2011-01-13,4.5,4.65,4.6,4.5,244600,4.15343
2011-01-14,4.67,4.99,4.95,4.67,393200,4.469452
2011-01-18,5.01,5.02,4.92,4.75,266700,4.4423650000000015
2011-01-19,4.9,4.95,4.76,4.75,2978300,4.297898
2011-01-20,4.79,4.79,4.72,4.53,139700,4.261781
2011-01-21,4.78,4.82,4.75,4.7,61100,4.288868
2011-01-24,4.75,4.9,4.79,4.7,92700,4.324985
2011-01-25,4.76,4.8,4.74,4.72,67200,4.279839
2011-01-26,4.77,4.89,4.86,4.72,51900,4.38819
2011-01-27,4.89,5.15,5.15,4.88,261100,4.650036
2011-01-28,5.18,5.31,5.3,5.15,360100,4.785474
2011-01-31,5.3,5.6,5.56,5.3,712100,5.020233
2011-02-01,6.56,7.6,7.5,6.56,4090100,6.771897
2011-02-02,7.5,7.5,7.41,7.25,851800,6.690633999999998
2011-02-03,7.45,7.45,7.3,7.13,458600,6.591314
2011-02-04,7.37,7.38,7.13,7.13,357700,6.437817
2011-02-07,7.13,7.25,7.18,7.06,357600,6.482963
2011-02-08,7.15,7.15,7.09,6.95,342200,6.4017
2011-02-09,7.05,7.13,7.13,7.01,294700,6.437817
2011-02-10,7.08,7.95,7.92,7.02,1491500,7.151124
2011-02-11,8.0,8.36,8.3,7.75,736200,7.494233
2011-02-14,8.38,8.62,8.24,8.07,666400,7.440058
2011-02-15,8.2,8.25,8.09,8.02,239100,7.30462
2011-02-16,8.11,8.3,8.22,8.06,337600,7.4220000000000015
2011-02-17,8.21,8.5,8.39,8.05,409100,7.575496
2011-02-18,8.5,8.6,8.58,8.3,440600,7.747051
2011-02-22,8.3,8.51,8.27,8.1,512000,7.467146
2011-02-23,8.27,8.27,7.8,7.62,510400,7.042773
2011-02-24,7.53,7.78,7.72,7.42,386200,6.97054
2011-02-25,7.88,8.5,8.5,7.85,500000,7.674817
2011-02-28,8.52,9.21,9.08,8.51,799800,8.19851
2011-03-01,9.18,9.2,8.76,8.7,375600,7.909575999999999
2011-03-02,8.84,9.16,9.16,8.74,260000,8.270744
2011-03-03,9.26,9.5,9.0,8.98,608400,8.126277
2011-03-04,9.0,9.32,8.86,8.78,480700,7.999867999999998
2011-03-07,8.95,8.95,8.36,8.21,403200,7.548408
2011-03-08,8.4,8.85,8.66,8.4,275300,7.819284
2011-03-09,8.59,8.72,8.29,8.29,173600,7.485203999999999
2011-03-10,8.21,8.28,7.83,7.7,399900,7.069861
2011-03-11,7.83,8.28,8.0,7.73,386900,7.223357000000001
2011-03-14,7.89,7.99,7.91,7.75,133100,7.142094
2011-03-15,7.6,7.66,7.49,7.35,321700,6.762867999999999
2011-03-16,7.46,7.72,7.33,7.1,382200,6.618401
2011-03-17,7.43,7.51,7.26,7.23,183800,6.555197
2011-03-18,7.47,7.6,7.55,7.31,207700,6.817044
2011-03-21,7.64,7.83,7.83,7.64,202200,7.069861
2011-03-22,7.86,7.86,7.51,7.5,183400,6.780927
2011-03-23,7.5,8.0,7.8,7.4,321300,7.042773
