date,open,high,close,low,volume,amount
2017-07-13,8.25,8.27,8.16,8.11,22445603.0,183914483.0
2017-07-12,8.14,8.24,8.24,8.01,29827123.0,242266248.0
2017-07-11,8.37,8.44,8.13,8.12,43153342.0,356131617.0
2017-07-10,8.43,8.69,8.4,8.35,53355706.0,453706995.0
2017-07-07,8.32,8.65,8.49,8.18,74398171.0,625920571.0
2017-07-06,8.24,8.4,8.31,8.18,55568680.0,460935362.0
2017-07-05,8.12,8.4,8.32,8.08,66123059.0,547119291.0
2017-07-04,8.05,8.25,8.12,8.0,39175104.0,318898215.0
2017-07-03,8.1,8.1,8.04,7.96,24654446.0,197771319.0
2017-06-30,8.03,8.15,8.09,7.98,27650484.0,223584774.0
2017-06-29,8.01,8.09,8.04,7.99,21165004.0,170055010.0
2017-06-28,8.05,8.16,8.04,8.0,28026592.0,226413841.0
2017-06-27,8.1,8.14,8.05,8.0,41098897.0,331311111.0
2017-06-26,7.85,8.25,8.2,7.79,71199661.0,574299197.0
2017-06-23,7.7,7.99,7.85,7.69,39744444.0,313141344.0
2017-06-22,7.81,7.88,7.72,7.72,16822690.0,131507791.0
2017-06-21,7.95,7.97,7.86,7.8,18660194.0,146839908.0
2017-06-20,7.81,8.03,7.92,7.81,30884900.0,244978917.0
2017-06-19,7.8,7.85,7.83,7.74,14911467.0,116328771.0
2017-06-16,7.79,7.87,7.8,7.71,21515416.0,167512007.0
2017-06-15,7.79,7.87,7.79,7.71,27420188.0,213740263.0
2017-06-14,7.81,8.06,7.8,7.78,63160281.0,499394453.0
2017-06-13,7.41,7.67,7.66,7.39,25731794.0,194894639.0
2017-06-12,7.57,7.57,7.41,7.4,13469924.0,100935339.0
2017-06-09,7.57,7.62,7.59,7.53,12510295.0,94716528.0
2017-06-08,7.58,7.74,7.57,7.55,21737558.0,165823061.0
2017-06-07,7.44,7.56,7.56,7.4,19344904.0,145201315.0
2017-06-06,7.38,7.43,7.43,7.34,9079294.0,67153592.0
2017-06-05,7.35,7.44,7.39,7.33,11507853.0,84926132.0
2017-06-02,7.23,7.35,7.33,7.16,12102883.0,87851789.0
2017-06-01,7.33,7.39,7.26,7.25,13938559.0,102208957.0
2017-05-31,7.4,7.48,7.35,7.35,12550179.0,93044933.0
