code,name,change,open,preclose,close,high,low,volume,amount
000001,上证指数,-1.43,3219.7914,3222.4168,3176.4648,3230.354,3139.5035,266205274,2746.5325
000002,Ａ股指数,-1.42,3372.0833,3374.8181,3326.8048,3383.1807,3287.9298,265683275,2743.1548
000003,Ｂ股指数,-2.46,329.0349,329.7558,321.6341,329.1659,321.233,521999,3.3777
000008,综合指数,0.55,2944.7801,2940.9171,2957.0365,2996.0083,2906.7243,75892563,744.9539
000009,上证380,-3.75,5403.1257,5410.9325,5208.1573,5403.1257,5192.5571,56860694,606.3589
000010,上证180,-0.46,8060.1668,8055.1303,8018.2537,8116.9329,7911.1185,126534671,1293.488
000011,基金指数,-0.5,6027.5417,6025.2678,5995.1757,6037.417,5973.3205,26524728,309.2916
000012,国债指数,0.01,160.4543,160.4088,160.4292,160.4618,160.4284,325005,3.258
000016,上证50,0.32,2627.3746,2622.9835,2631.4144,2663.2835,2594.4247,60865949,682.3917
000017,新综指,-1.42,2718.9268,2721.1332,2682.3975,2727.8799,2651.0344,265385843,2730.81
000300,沪深300,-1.07,3700.6179,3703.094,3663.5575,3716.47,3621.3652,178821600,1962.1725
000905,中证500,-4.12,6108.452,6128.7397,5876.4592,6108.452,5860.78,101536169,1130.4098
399001,深证成指,-3.57,10383.222,10427.787,10055.796,10384.046999999999,10006.385,24458036988,2949.8516
399002,深成指R,-3.56,12381.458999999999,12433.945,11991.02,12382.443000000001,11932.1,12708721044,1537.0841
399003,成份Ｂ指,-2.5,6192.5830000000005,6241.423000000001,6085.59,6205.454000000001,6076.383000000001,26185373,1.7034
399004,深证100R,-2.58,5036.342000000001,5050.358,4919.98,5043.302,4876.647,5350623034,715.4091
399005,中小板指,-2.82,6879.965999999999,6916.645,6721.522,6881.253000000001,6634.563,2472478525,418.1223
399006,创业板指,-5.11,1730.704,1745.567,1656.433,1730.704,1656.433,1707097106,233.9722
399008,中小300,-3.59,1417.204,1423.6529999999998,1372.567,1417.204,1362.289,5498417117,747.3161
399100,新 指 数,-4.09,8371.021,8405.292,8061.736,8371.362,8037.611,24001106035,2914.016
399101,中小板综,-4.02,11084.125,11129.191,10681.937,11084.125,10630.693000000001,9475157844,1244.4775
399106,深证综指,-4.28,1872.234,1881.011,1800.54,1872.326,1795.655,24458036988,2949.8516
399107,深证Ａ指,-4.29,1957.954,1967.1570000000002,1882.8310000000001,1958.05,1877.661,24404380089,2946.6899
399108,深证Ｂ指,-1.98,1165.069,1166.6480000000001,1143.598,1165.549,1141.512,53656899,3.1617
399333,中小板R,-2.81,7573.933000000001,7613.629,7399.507,7575.35,7303.776,2472478525,418.1223
399606,创业板R,-5.11,1802.286,1817.75,1724.943,1802.286,1724.943,1707097106,233.9722
