date,open,high,close,low,volume,amount
2017-06-23,6.5,6.52,6.45,6.4,5539996.0,35719529.0
2017-06-22,6.58,6.63,6.49,6.49,6159066.0,40587086.0
2017-06-21,6.66,6.67,6.61,6.57,6148754.0,40731688.0
2017-06-20,6.73,6.73,6.65,6.63,4878507.0,32669176.0
2017-06-19,6.68,6.76,6.69,6.67,7699348.0,51749410.0
2017-06-16,6.64,6.85,6.74,6.63,15864949.0,107143691.0
2017-06-15,6.54,6.63,6.62,6.51,9198564.0,60743363.0
2017-06-14,6.59,6.59,6.55,6.51,5280794.0,34662990.0
2017-06-13,6.56,6.6,6.58,6.51,5946342.0,39189225.0
2017-06-12,6.58,6.59,6.56,6.51,4339274.0,28451759.0
2017-06-09,6.63,6.63,6.61,6.48,9102520.0,59763316.0
2017-06-08,6.64,6.67,6.61,6.6,8130883.0,54164952.0
2017-06-07,6.55,6.64,6.64,6.55,9197923.0,60943405.0
2017-06-06,6.54,6.61,6.55,6.51,5317386.0,34919328.0
2017-06-05,6.5,6.6,6.55,6.49,5600708.0,36800496.0
2017-06-02,6.45,6.52,6.5,6.33,5444495.0,35197809.0
2017-06-01,6.53,6.57,6.47,6.3,9662892.0,62455105.0
2017-05-31,6.56,6.63,6.55,6.52,6556442.0,43186788.0
2017-05-26,6.62,6.64,6.53,6.42,10464392.0,68466643.0
2017-05-25,6.42,6.57,6.56,6.39,8971091.0,58527996.0
2017-05-24,6.43,6.5,6.42,6.27,9027929.0,57887490.0
2017-05-23,6.5,6.66,6.48,6.45,10970820.0,72017511.0
2017-05-22,6.58,6.64,6.51,6.46,11664610.0,76631582.0
2017-05-19,6.51,6.73,6.57,6.5,11214254.0,73992837.0
2017-05-18,6.35,6.53,6.46,6.34,9096572.0,58906820.0
2017-05-17,6.31,6.51,6.43,6.3,11846654.0,76292884.0
2017-05-16,6.22,6.37,6.34,6.1,8539252.0,53277223.0
2017-05-15,6.19,6.31,6.2,6.18,3953684.0,24753828.0
2017-05-12,6.26,6.31,6.19,6.16,5296653.0,33023367.0
