code,name,change,open,preclose,close,high,low,volume,amount
000001,上证指数,0.17,3159.7318,3176.4648,3181.8084,3182.9503,3150.1284,163986161,1706.2526
000002,Ａ股指数,0.17,3309.2362,3326.8048,3332.3433,3333.5451,3299.1193,163759431,1704.7806
000003,Ｂ股指数,0.72,321.2706,321.6341,323.9455,323.9929,321.2627,226730,1.472
000008,综合指数,-0.51,2939.7398,2957.0365,2941.892,2959.005,2913.047,41015158,417.1814
000009,上证380,0.85,5191.6291,5208.1573,5252.399,5253.6418,5188.631,37274949,385.8042
000010,上证180,-0.08,7980.7162,8018.2537,8011.7078,8031.4032,7924.8025,75640391,804.4007
000011,基金指数,-0.04,5989.8662,5995.1757,5992.7748,5997.8645,5966.2973,19815245,248.1862
000012,国债指数,-0.0,160.4434,160.4292,160.4217,160.4434,160.4074,240764,2.4191
000016,上证50,-0.29,2619.2303,2631.4144,2623.7011,2637.532,2596.1224,35394605,415.866
000017,新综指,0.17,2668.2238,2682.3975,2686.8658,2687.8354,2660.0618,163470339,1692.994
000300,沪深300,-0.0,3648.4942,3663.5575,3663.4118,3667.5408,3622.0414,109028384,1253.8002
000905,中证500,0.83,5854.072,5876.4592,5925.0819,5926.4552,5842.9557,66645282,733.8262
399001,深证成指,0.4,10012.911,10055.796,10096.296999999999,10098.032,9960.558,15638619069,1926.92
399002,深成指R,0.43,11942.553,11991.02,12042.008,12044.077,11880.108,8122712130,1016.0935
399003,成份Ｂ指,0.93,6066.903,6085.59,6141.905,6145.834,6066.903,14784679,1.0163
399004,深证100R,0.32,4906.819,4919.98,4935.634,4936.432,4867.245,3430247224,480.5421
399005,中小板指,-0.03,6682.227,6721.522,6719.584,6730.0419999999995,6623.809,1648526719,283.4901
399006,创业板指,0.77,1646.639,1656.433,1669.125,1672.715,1641.381,1037527000,147.9171
399008,中小300,0.16,1364.774,1372.567,1374.77,1375.17,1356.0379999999998,3519880488,484.1532
399100,新 指 数,0.55,8027.022,8061.736,8106.236,8107.141,7993.429,15292426097,1895.7872
399101,中小板综,0.32,10624.157,10681.937,10716.07,10717.156,10565.729,5994351196,799.1913
399106,深证综指,0.52,1792.011,1800.54,1809.9160000000002,1810.086,1784.424,15638619069,1926.92
399107,深证Ａ指,0.52,1873.8870000000002,1882.8310000000001,1892.622,1892.8,1865.9160000000002,15607383004,1924.949
399108,深证Ｂ指,0.72,1142.204,1143.598,1151.819,1152.69,1142.127,31236065,1.971
399333,中小板R,-0.02,7356.995,7399.507,7398.124,7409.638000000001,7292.678000000001,1648526719,283.4901
399606,创业板R,0.77,1714.8429999999998,1724.943,1738.261,1742.0,1709.368,1037527000,147.9171
