date,open,high,close,low,volume,amount
2017-07-17,4.93,4.95,4.67,4.61,13826820.0,65800214.0
2017-07-14,5.1,5.14,5.08,5.06,3592222.0,18304336.0
2017-07-13,5.09,5.13,5.1,5.04,5559815.0,28323820.0
2017-07-12,5.12,5.16,5.1,5.02,6440755.0,32742667.0
2017-07-11,5.22,5.22,5.13,5.13,6212040.0,32193542.0
2017-07-10,5.23,5.27,5.22,5.18,9016231.0,47014914.0
2017-07-07,5.24,5.37,5.28,5.24,17802829.0,94368727.0
2017-07-06,5.15,5.19,5.14,5.09,5885500.0,30287024.0
2017-07-05,5.1,5.18,5.15,5.07,6283281.0,32311555.0
2017-07-04,5.11,5.15,5.09,5.07,4749510.0,24225103.0
2017-07-03,5.06,5.12,5.11,5.03,4576000.0,23246958.0
2017-06-30,5.08,5.08,5.05,5.02,4430304.0,22368981.0
2017-06-29,5.06,5.13,5.09,5.06,4234400.0,21574835.0
2017-06-28,5.11,5.11,5.06,5.04,3721900.0,18908646.0
2017-06-27,5.13,5.18,5.13,5.1,4477327.0,22995975.0
2017-06-26,5.05,5.13,5.13,5.02,4788588.0,24346784.0
2017-06-23,5.11,5.12,5.06,4.94,7155687.0,35998677.0
2017-06-22,5.23,5.25,5.12,5.07,6082000.0,31526358.0
2017-06-21,5.27,5.3,5.23,5.15,6575954.0,34293375.0
2017-06-20,5.25,5.31,5.26,5.24,8179773.0,43181031.0
2017-06-19,5.24,5.26,5.24,5.21,6461171.0,33813076.0
2017-06-16,5.25,5.31,5.26,5.21,8526406.0,44727222.0
2017-06-15,5.19,5.3,5.27,5.18,9463297.0,49750440.0
2017-06-14,5.19,5.23,5.18,5.14,6999700.0,36261993.0
2017-06-13,5.11,5.22,5.21,5.1,8549816.0,44167764.0
2017-06-12,5.28,5.28,5.13,5.11,13497000.0,69772255.0
2017-06-09,5.2,5.44,5.33,5.2,23994154.0,128267490.0
2017-06-08,5.19,5.47,5.29,5.19,31139413.0,166218064.0
2017-06-07,4.92,5.41,5.41,4.9,28189167.0,145998972.0
2017-06-06,4.88,4.93,4.92,4.85,7972503.0,39019202.0
2017-06-05,4.82,4.93,4.88,4.79,11105342.0,54070318.0
2017-06-02,4.66,4.95,4.95,4.57,14320564.0,67946113.0
2017-06-01,4.98,5.0,4.71,4.66,11951354.0,57750214.0
2017-05-31,4.98,5.03,4.98,4.94,8738157.0,43584627.0
2017-05-26,4.97,5.02,4.91,4.91,8964066.0,44573000.0
2017-05-25,4.93,5.01,4.99,4.88,13020066.0,64577029.0
2017-05-24,5.0,5.02,4.95,4.82,8214904.0,40529210.0
2017-05-23,5.23,5.24,5.01,5.0,8849602.0,45271154.0
2017-05-22,5.41,5.41,5.23,5.21,8503886.0,45174526.0
2017-05-19,5.45,5.49,5.43,5.38,9952805.0,53993851.0
2017-05-18,5.37,5.79,5.53,5.32,17381303.0,96938303.0
2017-05-17,5.38,5.49,5.42,5.36,9893200.0,53733185.0
2017-05-16,5.32,5.39,5.39,5.2,9517865.0,50475088.0
2017-05-15,5.34,5.4,5.32,5.3,6257696.0,33476523.0
2017-05-12,5.37,5.38,5.35,5.24,6700710.0,35663438.0
2017-05-11,5.52,5.57,5.41,5.18,10584306.0,57093986.0
2017-05-10,5.87,5.91,5.62,5.6,7305800.0,42399808.0
2017-05-09,5.86,5.94,5.86,5.81,7805384.0,45806633.0
2017-05-08,6.1,6.1,5.86,5.86,5616000.0,33718328.0
2017-05-05,6.16,6.18,6.1,6.09,8374800.0,51389026.0
2017-05-04,6.13,6.18,6.13,6.07,6574408.0,40299181.0
2017-05-03,6.19,6.21,6.15,6.1,6031901.0,37122489.0
2017-05-02,6.25,6.26,6.19,6.18,4392041.0,27287235.0
2017-04-28,6.22,6.23,6.23,6.16,6292400.0,38994896.0
2017-04-27,6.25,6.29,6.25,6.02,10429722.0,64361497.0
2017-04-26,6.4,6.42,6.27,6.23,6762911.0,42601083.0
2017-04-25,6.15,6.44,6.41,6.15,9140141.0,57893111.0
2017-04-24,6.57,6.57,6.34,6.33,7695547.0,49142421.0
2017-04-21,6.6,6.63,6.58,6.49,5253689.0,34493157.0
2017-04-20,6.6,6.64,6.57,6.51,5000705.0,32892962.0
2017-04-19,6.76,6.77,6.59,6.48,11788882.0,77597729.0
2017-04-18,6.84,6.92,6.76,6.75,7299014.0,49915438.0
2017-04-17,6.94,7.0,6.83,6.78,13540896.0,92902505.0
2017-04-14,7.1,7.21,7.03,7.0,16608004.0,118139049.0
2017-04-13,7.17,7.19,7.1,6.93,21960548.0,155857849.0
2017-04-12,7.29,7.48,7.29,7.19,35490231.0,259121532.0
2017-04-11,7.02,7.56,7.38,6.85,37486278.0,269326226.0
2017-04-10,7.02,7.15,7.04,6.96,14083640.0,99556145.0
2017-04-07,7.07,7.13,7.06,6.99,12915875.0,91124623.0
2017-04-06,6.96,7.18,7.11,6.89,22693982.0,160167222.0
2017-04-05,6.85,6.95,6.94,6.84,14024953.0,96872490.0
2017-03-31,6.75,6.84,6.78,6.74,6030119.0,40871723.0
2017-03-30,6.91,6.91,6.76,6.73,11443961.0,77770250.0
2017-03-29,6.87,6.96,6.89,6.85,8985419.0,62027605.0
2017-03-28,6.92,6.94,6.9,6.88,5512644.0,38072279.0
2017-03-27,6.93,6.97,6.9,6.9,7089670.0,49128801.0
2017-03-24,6.86,6.96,6.93,6.86,8523467.0,58911594.0
2017-03-23,6.97,7.01,6.92,6.87,13523378.0,93844202.0
2017-03-22,7.06,7.09,6.98,6.97,18482507.0,129726233.0
2017-03-21,7.32,7.49,7.12,7.1,39737713.0,286469103.0
2017-03-20,6.92,7.0,6.96,6.89,6671448.0,46303146.0
2017-03-17,7.0,7.06,6.94,6.93,9747788.0,68279277.0
2017-03-16,7.0,7.05,7.03,6.98,14191588.0,99536205.0
2017-03-15,6.9,7.08,7.06,6.86,17023374.0,118748150.0
2017-03-14,6.96,6.97,6.92,6.91,10077815.0,69871212.0
2017-03-13,6.95,6.99,6.98,6.9,6153718.0,42792592.0
2017-03-10,6.98,6.99,6.96,6.93,4899588.0,34099186.0
2017-03-09,7.07,7.07,6.99,6.91,10661099.0,74441609.0
2017-03-08,7.09,7.12,7.09,7.03,7686700.0,54414566.0
2017-03-07,7.12,7.14,7.09,7.01,9372800.0,66379703.0
2017-03-06,6.93,7.07,7.07,6.68,11187604.0,78425605.0
2017-03-03,6.89,7.0,6.97,6.86,9330001.0,64700966.0
2017-03-02,7.09,7.09,6.94,6.93,17673508.0,123448826.0
2017-03-01,7.06,7.11,7.08,7.04,11412640.0,80732946.0
2017-02-28,7.08,7.11,7.09,7.04,10298940.0,72939807.0
2017-02-27,7.16,7.2,7.08,7.08,9272800.0,66136716.0
2017-02-24,7.19,7.2,7.17,7.13,9387564.0,67176452.0
2017-02-23,7.18,7.26,7.2,7.13,12902892.0,92667683.0
2017-02-22,7.17,7.18,7.17,7.12,9721258.0,69501473.0
2017-02-21,7.13,7.18,7.17,7.08,13460026.0,95972400.0
2017-02-20,7.05,7.13,7.12,7.02,8726564.0,61851749.0
2017-02-17,7.17,7.27,7.11,7.07,21826779.0,155983456.0
2017-02-16,7.05,7.09,7.07,7.03,9669552.0,68284907.0
2017-02-15,7.05,7.15,7.06,7.01,13413333.0,94800034.0
2017-02-14,7.1,7.1,7.05,7.03,10813138.0,76325595.0
2017-02-13,7.1,7.14,7.12,7.05,13750650.0,97581510.0
2017-02-10,7.08,7.15,7.12,7.06,17485366.0,124148945.0
2017-02-09,7.04,7.09,7.09,6.99,21388904.0,151002434.0
2017-02-08,7.09,7.12,7.1,7.03,15380930.0,108776706.0
2017-02-07,7.26,7.26,7.12,7.02,31087492.0,220741795.0
2017-02-06,7.01,7.64,7.31,6.91,15479885.0,113467913.0
2017-02-03,7.12,7.13,7.01,6.99,3591602.0,25240130.0
2017-01-26,7.08,7.14,7.11,7.06,3967400.0,28183185.0
2017-01-25,7.03,7.06,7.05,6.96,3127032.0,21988631.0
2017-01-24,6.99,7.14,7.04,6.97,5361738.0,37872909.0
2017-01-23,6.89,6.99,6.97,6.89,4386901.0,30527975.0
2017-01-20,6.72,6.89,6.88,6.72,5090097.0,34891705.0
2017-01-19,6.83,6.85,6.79,6.7,3720900.0,25186822.0
2017-01-18,6.87,6.91,6.83,6.81,4288518.0,29402195.0
2017-01-17,6.75,6.91,6.88,6.67,5117354.0,34894007.0
2017-01-16,7.05,7.05,6.81,6.4,10562401.0,72258819.0
2017-01-13,7.14,7.16,7.06,7.03,12093662.0,85663946.0
2017-01-12,7.41,7.45,7.27,7.27,8873117.0,65218893.0
2017-01-11,7.66,7.71,7.41,7.4,14815200.0,111794670.0
2017-01-10,7.74,7.81,7.71,7.69,8440204.0,65292274.0
2017-01-09,7.73,7.78,7.78,7.65,10208992.0,79043936.0
2017-01-06,7.8,7.8,7.71,7.63,14923010.0,115057545.0
2017-01-05,7.77,7.92,7.81,7.71,20265466.0,158450318.0
2017-01-04,7.72,7.9,7.83,7.65,24794438.0,192750927.0
2017-01-03,7.71,7.83,7.79,7.62,16491139.0,127736259.0
2016-12-30,7.86,7.95,7.69,7.63,22434500.0,174353489.0
2016-12-29,7.94,8.07,7.94,7.76,28347123.0,223970804.0
2016-12-28,8.12,8.35,8.02,7.92,57370490.0,466482549.0
2016-12-27,7.35,8.11,8.11,7.32,41605086.0,324633949.0
2016-12-26,7.48,7.48,7.37,7.2,17974145.0,131678941.0
2016-12-23,7.58,7.95,7.64,7.52,28827322.0,223157005.0
2016-12-22,8.22,8.22,7.74,7.72,51629927.0,414219897.0
2016-12-21,7.7,7.89,7.89,7.7,11673456.0,91922633.0
2016-12-20,7.15,7.23,7.17,7.13,4336386.0,31115450.0
2016-12-19,7.05,7.24,7.15,7.03,9768700.0,69988720.0
2016-12-16,6.94,7.07,7.07,6.93,5772417.0,40470171.0
2016-12-15,6.88,7.02,6.97,6.85,5654011.0,39266804.0
2016-12-14,7.0,7.01,6.91,6.82,6673894.0,46154156.0
2016-12-13,7.1,7.1,7.01,6.9,9201752.0,64065038.0
2016-12-12,7.63,7.66,7.13,7.1,9607240.0,70629837.0
2016-12-09,7.66,7.69,7.62,7.61,3839975.0,29346844.0
2016-12-08,7.68,7.72,7.66,7.64,4756515.0,36546817.0
2016-12-07,7.62,7.68,7.68,7.56,4477628.0,34124582.0
2016-12-06,7.56,7.64,7.6,7.55,4268170.0,32445358.0
2016-12-05,7.63,7.64,7.54,7.53,5367223.0,40578216.0
2016-12-02,7.8,7.8,7.63,7.62,7687874.0,59228429.0
2016-12-01,7.74,7.81,7.8,7.74,5659302.0,44025168.0
2016-11-30,7.8,7.83,7.77,7.74,5379626.0,41861375.0
2016-11-29,7.91,7.93,7.8,7.8,8069466.0,63450303.0
2016-11-28,7.88,7.96,7.93,7.87,9970704.0,78891597.0
2016-11-25,7.86,7.9,7.86,7.74,9053877.0,70678258.0
2016-11-24,7.94,7.94,7.87,7.82,8783346.0,69289652.0
2016-11-23,7.96,7.99,7.94,7.9,9863336.0,78296845.0
2016-11-22,7.9,7.96,7.96,7.89,9076372.0,71938889.0
2016-11-21,7.89,7.95,7.9,7.84,8951977.0,70703756.0
2016-11-18,8.08,8.09,7.9,7.9,14953725.0,119308516.0
2016-11-17,8.11,8.15,8.07,8.03,11585767.0,93458867.0
2016-11-16,8.13,8.19,8.15,8.08,12667985.0,102937055.0
2016-11-15,8.1,8.15,8.13,8.05,16312674.0,132103003.0
2016-11-14,8.18,8.25,8.13,8.06,30721062.0,250288233.0
2016-11-11,8.02,8.65,8.41,8.02,46584699.0,391858985.0
2016-11-10,8.15,8.26,8.06,8.03,21939646.0,177693921.0
2016-11-09,7.88,8.1,7.96,7.75,19827580.0,156952082.0
2016-11-08,7.9,7.93,7.9,7.85,9106099.0,71820639.0
2016-11-07,7.94,7.95,7.91,7.85,9111034.0,72003538.0
2016-11-04,7.93,7.98,7.91,7.86,10403368.0,82329883.0
2016-11-03,7.91,7.98,7.93,7.83,11507854.0,90983890.0
2016-11-02,7.86,8.07,7.91,7.83,18686532.0,148920829.0
2016-11-01,7.78,7.92,7.9,7.77,9695427.0,76230165.0
2016-10-31,7.81,7.83,7.79,7.7,9047625.0,70130806.0
2016-10-28,7.9,7.93,7.79,7.78,10804800.0,84774031.0
2016-10-27,7.96,7.97,7.91,7.86,10141064.0,80128048.0
2016-10-26,7.91,7.99,7.97,7.91,11233102.0,89348609.0
2016-10-25,8.0,8.0,7.95,7.9,16313642.0,129577386.0
2016-10-24,7.99,8.06,8.02,7.78,33238825.0,263268911.0
2016-10-21,8.36,8.39,8.24,8.16,13174826.0,109034808.0
2016-10-20,8.22,8.33,8.28,8.22,11906710.0,98279688.0
2016-10-19,8.32,8.39,8.24,8.2,15859754.0,131492857.0
2016-10-18,8.27,8.41,8.39,8.15,23434261.0,193974666.0
2016-10-17,8.61,8.84,8.38,8.35,36127598.0,307964165.0
2016-10-14,8.08,9.1,8.73,7.81,53701439.0,458805032.0
2016-10-13,8.54,8.67,8.63,8.52,13201856.0,113853177.0
2016-10-12,8.49,8.59,8.57,8.41,11910567.0,101245162.0
2016-10-11,8.59,8.6,8.53,8.41,13285028.0,112773699.0
2016-10-10,8.43,8.62,8.57,8.43,9379995.0,80109751.0
2016-09-30,8.33,8.44,8.41,8.24,8219486.0,68472701.0
2016-09-29,8.3,8.43,8.31,8.29,6880003.0,57527188.0
2016-09-28,8.5,8.5,8.3,8.26,9799656.0,81918564.0
2016-09-27,8.71,8.78,8.52,8.35,17810107.0,150906884.0
2016-09-26,8.88,9.02,8.76,8.68,17149963.0,152403054.0
2016-09-23,8.84,9.02,8.93,8.81,19461424.0,173832256.0
2016-09-22,8.7,8.95,8.83,8.7,15319952.0,135105004.0
2016-09-21,8.78,8.85,8.71,8.67,12293075.0,107297634.0
2016-09-20,8.76,9.07,8.88,8.75,22840855.0,204170585.0
2016-09-19,8.62,8.76,8.71,8.61,10473582.0,91048168.0
2016-09-14,8.78,8.83,8.61,8.6,17486192.0,151704998.0
2016-09-13,8.85,9.05,8.9,8.75,21090082.0,187618664.0
2016-09-12,8.7,9.06,8.81,8.6,35922850.0,319400590.0
2016-09-09,8.97,9.06,8.82,8.76,28411292.0,252334710.0
2016-09-08,9.11,9.15,9.01,8.83,50821021.0,456310409.0
2016-09-07,8.5,9.47,9.3,8.46,86449519.0,791106020.0
2016-09-06,8.23,8.82,8.61,8.02,38902568.0,330079191.0
2016-09-05,8.18,8.44,8.23,8.13,17423735.0,144494122.0
2016-09-02,8.23,8.33,8.11,8.05,18284713.0,149050733.0
2016-09-01,8.28,8.55,8.34,8.27,26095358.0,219637101.0
2016-08-31,8.18,8.45,8.34,8.13,24641978.0,205852594.0
2016-08-30,8.37,8.46,8.18,8.09,24511368.0,201810840.0
2016-08-29,8.02,8.5,8.32,7.99,36412650.0,301934881.0
2016-08-26,7.69,8.26,7.99,7.68,28365961.0,226723591.0
2016-08-25,7.8,7.8,7.67,7.62,13136204.0,100993689.0
2016-08-24,7.8,8.13,7.88,7.8,28018544.0,222961435.0
2016-08-23,7.74,7.81,7.77,7.66,11873989.0,91959541.0
2016-08-22,7.74,7.78,7.73,7.66,9486402.0,73211315.0
2016-08-19,7.76,7.81,7.74,7.67,13299565.0,102633303.0
2016-08-18,7.72,7.8,7.76,7.67,10070937.0,78013203.0
2016-08-17,7.73,7.78,7.73,7.65,8549823.0,66009675.0
2016-08-16,7.64,7.92,7.75,7.64,10254024.0,79316377.0
2016-08-15,7.53,7.68,7.64,7.5,10254573.0,77969200.0
2016-08-12,7.51,7.54,7.52,7.41,4901950.0,36632992.0
2016-08-11,7.57,7.59,7.46,7.45,5185930.0,38958677.0
2016-08-10,7.62,7.65,7.58,7.52,6706513.0,50866705.0
2016-08-09,7.6,7.63,7.62,7.56,7219858.0,54852397.0
2016-08-08,7.51,7.57,7.56,7.41,6453626.0,48392097.0
2016-08-05,7.58,7.6,7.51,7.5,5963515.0,44940334.0
2016-08-04,7.52,7.64,7.62,7.38,9582880.0,71848765.0
2016-08-03,7.46,7.59,7.55,7.41,6605669.0,49709340.0
2016-08-02,7.5,7.53,7.47,7.4,7117186.0,52975672.0
2016-08-01,7.68,7.68,7.49,7.38,5920791.0,44288821.0
2016-07-29,7.68,7.93,7.69,7.67,6458247.0,50196015.0
2016-07-28,7.79,7.79,7.71,7.58,7575001.0,58299077.0
2016-07-27,8.1,8.19,7.74,7.6,17680967.0,140741866.0
2016-07-26,8.07,8.15,8.1,8.01,9658374.0,78096075.0
2016-07-25,7.99,8.12,8.07,7.93,9699480.0,78034639.0
2016-07-22,8.09,8.19,8.0,7.97,13410305.0,108144441.0
2016-07-21,8.09,8.2,8.05,8.0,16176605.0,130934775.0
2016-07-20,7.85,8.43,8.14,7.82,28685333.0,232396490.0
2016-07-19,7.8,7.86,7.85,7.74,5492479.0,42790976.0
2016-07-18,7.85,7.88,7.83,7.7,9621694.0,74966817.0
2016-07-15,7.91,7.93,7.84,7.81,8642502.0,67956644.0
2016-07-14,7.83,7.94,7.92,7.79,12367849.0,97327019.0
2016-07-13,7.85,7.88,7.86,7.81,10785793.0,84617718.0
2016-07-12,7.77,7.87,7.84,7.65,9877739.0,76541507.0
2016-07-11,7.81,8.01,7.77,7.76,10006474.0,78629188.0
2016-07-08,7.8,7.95,7.83,7.79,8477529.0,66425775.0
2016-07-07,7.89,7.92,7.84,7.75,11514840.0,90099624.0
2016-07-06,7.78,7.95,7.93,7.76,14091512.0,111135808.0
2016-07-05,7.84,7.86,7.79,7.76,10401997.0,81118391.0
2016-07-04,7.7,7.93,7.83,7.66,11680754.0,91627573.0
2016-07-01,7.85,7.88,7.74,7.68,7012933.0,54424840.0
2016-06-30,7.8,7.91,7.83,7.75,7497154.0,58614322.0
2016-06-29,7.8,7.94,7.8,7.75,11550405.0,90327496.0
2016-06-28,7.47,7.9,7.82,7.44,18861675.0,145839591.0
2016-06-27,7.4,7.53,7.53,7.35,6026634.0,45035326.0
2016-06-24,7.52,7.58,7.42,7.23,6761662.0,50243536.0
2016-06-23,7.5,7.57,7.48,7.47,5468660.0,41065052.0
2016-06-22,7.35,7.53,7.53,7.32,5851967.0,43647357.0
2016-06-21,7.56,7.62,7.34,7.32,7550092.0,56397521.0
2016-06-20,7.68,7.68,7.53,7.48,8276342.0,62410310.0
2016-06-17,7.65,7.93,7.7,7.61,8289221.0,64154189.0
2016-06-16,7.67,7.72,7.65,7.58,6066340.0,46362822.0
2016-06-15,7.35,7.64,7.64,7.32,7715027.0,58252599.0
2016-06-14,7.33,7.46,7.42,7.24,5257109.0,38682224.0
2016-06-13,7.65,7.66,7.3,7.3,8822005.0,66424418.0
2016-06-08,7.89,7.89,7.76,7.69,6928313.0,53815232.0
2016-06-07,7.81,7.87,7.87,7.72,7891024.0,61439727.0
2016-06-06,7.81,7.96,7.84,7.75,8791301.0,69130650.0
2016-06-03,7.84,7.88,7.81,7.79,8407478.0,65819492.0
2016-06-02,7.77,7.83,7.81,7.68,7874101.0,61086136.0
2016-06-01,7.72,7.98,7.73,7.69,9832169.0,76401104.0
2016-05-31,7.45,7.74,7.74,7.4,11000367.0,83778668.0
2016-05-30,7.46,7.48,7.39,7.28,4546252.0,33682178.0
2016-05-27,7.48,7.66,7.53,7.32,7985580.0,59969200.0
2016-05-26,7.56,7.6,7.46,7.19,9678740.0,71158524.0
2016-05-25,7.61,7.67,7.56,7.5,7093504.0,53947491.0
2016-05-24,7.62,7.65,7.57,7.5,6037911.0,45634356.0
2016-05-23,7.64,7.73,7.67,7.58,8125057.0,62281982.0
2016-05-20,7.55,7.63,7.63,7.42,8558441.0,64477980.0
2016-05-19,7.68,7.85,7.62,7.6,8089942.0,62470915.0
2016-05-18,8.15,8.15,7.67,7.56,11388153.0,88888323.0
2016-05-17,8.14,8.24,8.15,8.08,7932612.0,64691214.0
2016-05-16,8.07,8.16,8.14,7.82,8513432.0,68160653.0
2016-05-13,8.0,8.22,8.03,7.97,8851810.0,71646550.0
2016-05-12,8.05,8.06,7.99,7.8,11733885.0,92993925.0
2016-05-11,8.5,8.6,8.19,8.12,14689123.0,122304438.0
2016-05-10,8.7,8.87,8.49,8.27,25388642.0,216991776.0
2016-05-09,9.31,9.62,9.12,9.0,49637560.0,464758176.0
2016-05-06,9.38,9.48,9.18,9.03,25162712.0,232332336.0
2016-05-05,9.17,9.55,9.45,9.14,23759448.0,222888048.0
2016-05-04,9.14,9.29,9.19,9.13,15649773.0,143972464.0
2016-05-03,8.94,9.23,9.22,8.83,17406724.0,157704592.0
2016-04-29,8.94,9.08,8.91,8.89,9343553.0,83882712.0
