time,price,pchange,change,volume,amount,type
15:00:03,8.19,+1.11,0.0,528,432432,sell
14:57:00,8.19,+1.11,0.0,0,0,sell
14:56:51,8.19,+1.11,0.0,6,4914,sell
14:56:48,8.19,+1.11,0.01,25,20475,buy
14:56:45,8.18,+0.99,-0.01,18,14724,sell
14:56:39,8.19,+1.11,0.0,6,4914,sell
14:56:36,8.19,+1.11,0.0,6,4914,sell
14:56:24,8.19,+1.11,0.01,23,18837,buy
14:56:21,8.18,+0.99,-0.01,6,4908,sell
14:56:06,8.19,+1.11,0.01,5,4095,buy
14:56:00,8.18,+0.99,0.0,6,4908,sell
14:55:54,8.18,+0.99,-0.02,12,9816,sell
14:55:33,8.2,+1.23,0.02,271,222220,buy
14:55:27,8.18,+0.99,0.0,41,33538,sell
14:55:18,8.18,+0.99,0.01,1,818,sell
14:55:12,8.17,+0.86,0.0,20,16340,sell
14:55:09,8.17,+0.86,-0.03,8,6536,sell
14:55:06,8.2,+1.23,0.02,500,410000,buy
14:54:48,8.18,+0.99,0.0,35,28630,buy
14:54:39,8.18,+0.99,0.0,113,92434,buy
14:54:36,8.18,+0.99,0.0,2,1636,buy
14:54:21,8.18,+0.99,0.0,20,16360,buy
14:54:18,8.18,+0.99,0.0,54,44172,sell
14:54:03,8.18,+0.99,0.0,1,818,sell
14:54:00,8.18,+0.99,0.0,7,5726,sell
14:53:57,8.18,+0.99,-0.01,460,376280,sell
14:53:51,8.19,+1.11,0.0,2,1638,buy
14:53:42,8.19,+1.11,0.0,1,819,buy
14:53:39,8.19,+1.11,0.0,6,4914,buy
14:53:36,8.19,+1.11,0.0,82,67158,sell
14:53:27,8.19,+1.11,0.0,139,113841,sell
14:53:24,8.19,+1.11,0.01,485,397215,buy
14:53:21,8.18,+0.99,-0.01,15,12270,sell
14:52:51,8.19,+1.11,0.0,20,16380,buy
14:52:45,8.19,+1.11,0.01,20,16380,buy
14:52:42,8.18,+0.99,0.0,200,163600,sell
14:52:36,8.18,+0.99,0.0,12,9816,norm
14:52:36,8.18,+0.99,0.0,12,9816,sell
14:52:30,8.18,+0.99,0.0,10,8180,sell
14:52:27,8.18,+0.99,-0.01,40,32720,sell
14:52:24,8.19,+1.11,0.01,50,40950,buy
14:51:54,8.18,+0.99,-0.01,16,13088,sell
14:51:42,8.19,+1.11,0.01,3,2457,buy
14:51:39,8.18,+0.99,0.0,30,24540,sell
14:51:36,8.18,+0.99,-0.01,10,8180,sell
14:51:15,8.19,+1.11,0.01,1,819,buy
14:51:09,8.18,+0.99,0.0,27,22086,buy
14:51:06,8.18,+0.99,0.0,343,280574,sell
14:51:03,8.18,+0.99,0.0,30,24540,sell
14:50:18,8.18,+0.99,0.0,5,4090,sell
14:50:00,8.18,+0.99,0.0,5,4090,sell
14:49:57,8.18,+0.99,0.01,80,65440,buy
